approved_symbol,hgnc_id,evidence_count,list_count,00_InhousePanels,01_PanelApp,02_HPO,03_DiagnosticPanels,04_COSMIC
ABRAXAS1,25829,1,2,TRUE,NULL,NULL,FALSE,NULL
ACD,25070,3,3,TRUE,TRUE,NULL,TRUE,NULL
AIP,358,4,4,TRUE,TRUE,TRUE,TRUE,NULL
AKT1,391,4,5,TRUE,FALSE,TRUE,TRUE,TRUE
ALK,427,4,4,TRUE,TRUE,NULL,TRUE,TRUE
ANKRD26,29186,3,3,TRUE,TRUE,NULL,TRUE,NULL
APC,583,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ARID1A,11110,2,3,TRUE,NULL,NULL,FALSE,TRUE
ARID1B,18040,3,3,TRUE,NULL,TRUE,NULL,TRUE
ATM,795,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ATR,882,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
ATRX,886,3,4,TRUE,NULL,TRUE,FALSE,TRUE
AXIN2,904,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BAP1,950,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BARD1,952,4,5,TRUE,FALSE,TRUE,TRUE,TRUE
BLM,1058,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
BMPR1A,1076,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
BRAF,1097,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BRCA1,1100,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BRCA2,1101,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
BRIP1,20473,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
BUB1B,1149,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
CASR,1514,3,4,TRUE,FALSE,TRUE,TRUE,NULL
CBL,1541,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDC73,16783,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDH1,1748,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDK4,1773,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
CDKN1B,1785,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDKN1C,1786,4,4,TRUE,TRUE,TRUE,TRUE,NULL
CDKN2A,1787,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CDKN2B,1788,3,3,TRUE,TRUE,NULL,TRUE,NULL
CEBPA,1833,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
CHEK2,16627,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
COL7A1,2214,2,2,TRUE,NULL,TRUE,NULL,NULL
CREBBP,2348,3,4,TRUE,FALSE,TRUE,NULL,TRUE
CSF3R,2439,3,5,TRUE,FALSE,TRUE,TRUE,FALSE
CTC1,26169,3,3,TRUE,TRUE,NULL,TRUE,NULL
CTNNA1,2509,2,3,TRUE,NULL,NULL,TRUE,FALSE
CTNNB1,2514,3,4,TRUE,FALSE,TRUE,NULL,TRUE
CTR9,16850,3,3,TRUE,TRUE,NULL,TRUE,NULL
CTRC,2523,1,2,TRUE,NULL,NULL,FALSE,NULL
CYLD,2584,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
DDB2,2718,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
DDX41,18674,4,4,TRUE,TRUE,TRUE,TRUE,NULL
DICER1,17098,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
DIS3L2,28648,4,4,TRUE,TRUE,TRUE,TRUE,NULL
DKC1,2890,4,4,TRUE,TRUE,TRUE,TRUE,NULL
DNAJC21,27030,3,4,TRUE,TRUE,TRUE,FALSE,NULL
DNMT3A,2978,3,4,TRUE,NULL,TRUE,FALSE,TRUE
DNMT3B,2979,1,1,TRUE,NULL,NULL,NULL,NULL
DOCK8,19191,3,4,TRUE,TRUE,TRUE,FALSE,NULL
EGFR,3236,4,4,TRUE,NULL,TRUE,TRUE,TRUE
ELANE,3309,3,4,TRUE,TRUE,TRUE,FALSE,NULL
EPCAM,11529,4,4,TRUE,TRUE,TRUE,TRUE,NULL
ERBB2,3430,3,4,TRUE,NULL,TRUE,FALSE,TRUE
ERCC1,3433,3,3,TRUE,TRUE,NULL,TRUE,NULL
ERCC2,3434,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
ERCC3,3435,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
ERCC4,3436,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
ERCC5,3437,3,4,TRUE,TRUE,NULL,TRUE,FALSE
ERCC6L2,26922,3,3,TRUE,TRUE,NULL,TRUE,NULL
ETV6,3495,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
EXT1,3512,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
EXT2,3513,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
EZH2,3527,4,4,TRUE,TRUE,NULL,TRUE,TRUE
FANCA,3582,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
FANCB,3583,3,3,TRUE,TRUE,NULL,TRUE,NULL
FANCC,3584,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
FANCD2,3585,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
FANCE,3586,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
FANCF,3587,3,4,TRUE,TRUE,NULL,TRUE,FALSE
FANCG,3588,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
FANCI,25568,3,3,TRUE,TRUE,NULL,TRUE,NULL
FANCL,20748,3,3,TRUE,TRUE,NULL,TRUE,NULL
FANCM,23168,3,3,TRUE,TRUE,NULL,TRUE,NULL
FAS,11920,2,4,TRUE,TRUE,NULL,FALSE,FALSE
FAT4,23109,1,2,TRUE,NULL,NULL,NULL,FALSE
FH,3700,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
FLCN,27310,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
FOCAD,23377,2,3,TRUE,NULL,TRUE,FALSE,NULL
FOXE1,3806,3,4,TRUE,TRUE,TRUE,FALSE,NULL
GALNT12,19877,2,2,TRUE,NULL,NULL,TRUE,NULL
GATA1,4170,4,5,TRUE,TRUE,TRUE,FALSE,TRUE
GATA2,4171,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
GBA1,4177,3,4,TRUE,TRUE,TRUE,FALSE,NULL
GJB2,4284,2,2,TRUE,NULL,TRUE,NULL,NULL
GNA11,4379,3,3,TRUE,NULL,TRUE,NULL,TRUE
GNAQ,4390,3,3,TRUE,NULL,TRUE,NULL,TRUE
GPC3,4451,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
GREM1,2001,3,3,TRUE,TRUE,NULL,TRUE,NULL
H19,4713,1,2,TRUE,FALSE,NULL,NULL,NULL
HAVCR2,18437,2,3,TRUE,NULL,TRUE,FALSE,NULL
HAX1,16915,3,4,TRUE,TRUE,TRUE,FALSE,NULL
HFE,4886,2,3,TRUE,NULL,TRUE,FALSE,NULL
HMBS,4982,2,2,TRUE,NULL,TRUE,NULL,NULL
HOXB13,5112,2,3,TRUE,FALSE,NULL,TRUE,NULL
HPS1,5163,1,2,TRUE,NULL,NULL,FALSE,NULL
HRAS,5173,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
IDH1,5382,3,3,TRUE,NULL,TRUE,NULL,TRUE
IDH2,5383,2,2,TRUE,NULL,NULL,NULL,TRUE
IKZF1,13176,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
IPMK,20739,1,1,TRUE,NULL,NULL,NULL,NULL
ITK,6171,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
JAK2,6192,4,5,TRUE,FALSE,TRUE,TRUE,TRUE
KCNQ1OT1,6295,2,3,TRUE,FALSE,TRUE,NULL,NULL
KIF1B,16636,3,4,TRUE,FALSE,TRUE,TRUE,NULL
KIT,6342,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
KMT2C,13726,2,2,TRUE,NULL,NULL,NULL,TRUE
KMT2D,7133,2,3,TRUE,NULL,NULL,FALSE,TRUE
KRAS,6407,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
LIG4,6601,3,3,TRUE,TRUE,TRUE,NULL,NULL
LZTR1,6742,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
MAD2L2,6764,2,2,TRUE,TRUE,NULL,NULL,NULL
MAP2K1,6840,4,4,TRUE,TRUE,NULL,TRUE,TRUE
MAP2K2,6842,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
MAP3K1,6848,3,3,TRUE,NULL,TRUE,NULL,TRUE
MAX,6913,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
MDH2,6971,3,3,TRUE,TRUE,NULL,TRUE,NULL
MEN1,7010,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
MET,7029,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
MITF,7105,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
MLH1,7127,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
MLH3,7128,3,3,TRUE,NULL,TRUE,TRUE,NULL
MMS19,13824,1,1,TRUE,NULL,NULL,NULL,NULL
MRE11,7230,2,2,TRUE,NULL,NULL,TRUE,NULL
MSH2,7325,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
MSH3,7326,4,4,TRUE,TRUE,TRUE,TRUE,NULL
MSH6,7329,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
MTAP,7413,3,3,TRUE,TRUE,TRUE,NULL,NULL
MTOR,3942,2,2,TRUE,NULL,NULL,NULL,TRUE
MUTYH,7527,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
NAF1,25126,3,3,TRUE,TRUE,NULL,TRUE,NULL
NBN,7652,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
NF1,7765,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
NF2,7773,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
NHP2,14377,3,3,TRUE,TRUE,NULL,TRUE,NULL
NOP10,14378,3,3,TRUE,TRUE,NULL,TRUE,NULL
NRAS,7989,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
NSD1,14234,2,4,TRUE,TRUE,NULL,FALSE,FALSE
NTHL1,8028,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
PALB2,26144,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
PARN,8609,2,3,TRUE,TRUE,NULL,FALSE,NULL
PAX5,8619,3,4,TRUE,TRUE,NULL,TRUE,FALSE
PDGFRA,8803,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
PDGFRB,8804,3,4,TRUE,TRUE,TRUE,NULL,FALSE
PHOX2B,9143,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
PIK3C2G,8973,1,1,TRUE,NULL,NULL,NULL,NULL
PIK3CA,8975,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
PIK3R1,8979,3,3,TRUE,NULL,TRUE,NULL,TRUE
PIK3R2,8980,1,1,TRUE,NULL,NULL,NULL,NULL
PMS2,9122,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
POLD1,9175,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
POLE,9177,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
POLH,9181,4,4,TRUE,TRUE,TRUE,TRUE,NULL
POT1,17284,3,4,TRUE,NULL,TRUE,TRUE,FALSE
PPP1CB,9282,3,3,TRUE,TRUE,TRUE,NULL,NULL
PRF1,9360,3,5,TRUE,TRUE,TRUE,FALSE,FALSE
PRKAR1A,9388,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
PRKN,8607,2,2,TRUE,NULL,TRUE,NULL,NULL
PRSS1,9475,3,3,TRUE,TRUE,NULL,TRUE,NULL
PTCH1,9585,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
PTEN,9588,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
PTPN11,9644,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
RAD50,9816,2,2,TRUE,NULL,NULL,TRUE,NULL
RAD51,9817,3,4,TRUE,TRUE,TRUE,FALSE,NULL
RAD51B,9822,1,3,TRUE,NULL,NULL,FALSE,FALSE
RAD51C,9820,4,4,TRUE,TRUE,TRUE,TRUE,NULL
RAD51D,9823,3,3,TRUE,TRUE,NULL,TRUE,NULL
RAF1,9829,3,4,TRUE,TRUE,NULL,TRUE,FALSE
RB1,9884,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
RECQL,9948,2,2,TRUE,NULL,NULL,TRUE,NULL
RECQL4,9949,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
RELN,9957,1,1,TRUE,NULL,NULL,NULL,NULL
REST,9966,4,4,TRUE,TRUE,TRUE,TRUE,NULL
RET,9967,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
RHBDF2,20788,3,3,TRUE,NULL,TRUE,TRUE,NULL
RINT1,21876,1,2,TRUE,NULL,NULL,FALSE,NULL
RIT1,10023,3,3,TRUE,TRUE,NULL,TRUE,NULL
RMRP,10031,3,3,TRUE,TRUE,TRUE,NULL,NULL
RNF43,18505,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
RPL11,10301,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPL15,10306,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPL23,10316,2,2,TRUE,TRUE,NULL,NULL,NULL
RPL26,10327,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPL27,10328,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPL31,10334,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPL35A,10345,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPL36,13631,2,2,TRUE,TRUE,NULL,NULL,NULL
RPL5,10360,2,4,TRUE,TRUE,NULL,FALSE,FALSE
RPS10,10383,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPS15,10388,2,2,TRUE,TRUE,NULL,NULL,NULL
RPS17,10397,2,2,TRUE,TRUE,NULL,NULL,NULL
RPS19,10402,3,4,TRUE,TRUE,TRUE,FALSE,NULL
RPS20,10405,2,2,TRUE,NULL,NULL,TRUE,NULL
RPS24,10411,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPS26,10414,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPS27,10416,2,2,TRUE,TRUE,NULL,NULL,NULL
RPS27A,10417,2,2,TRUE,TRUE,NULL,NULL,NULL
RPS28,10418,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPS29,10419,2,3,TRUE,TRUE,NULL,FALSE,NULL
RPS7,10440,2,3,TRUE,TRUE,NULL,FALSE,NULL
RTEL1,15888,3,3,TRUE,TRUE,NULL,TRUE,NULL
RUNX1,10471,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
SAMD9L,1349,4,4,TRUE,TRUE,TRUE,TRUE,NULL
SBDS,19440,3,5,TRUE,TRUE,TRUE,FALSE,FALSE
SDHA,10680,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
SDHAF2,26034,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
SDHB,10681,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
SDHC,10682,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
SDHD,10683,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
SEC23B,10702,4,4,TRUE,TRUE,TRUE,TRUE,NULL
SETBP1,15573,3,3,TRUE,NULL,TRUE,NULL,TRUE
SH2B3,29605,3,5,TRUE,TRUE,TRUE,FALSE,FALSE
SH2D1A,10820,3,4,TRUE,TRUE,TRUE,FALSE,NULL
SHOC2,15454,4,4,TRUE,TRUE,TRUE,TRUE,NULL
SLC5A5,11040,2,2,TRUE,TRUE,NULL,NULL,NULL
SLX4,23845,4,4,TRUE,TRUE,TRUE,TRUE,NULL
SMAD4,6770,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
SMARCA4,11100,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
SMARCB1,11103,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
SMARCE1,11109,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
SOS1,11187,4,4,TRUE,TRUE,TRUE,TRUE,NULL
SOS2,11188,2,3,TRUE,TRUE,NULL,FALSE,NULL
SPINK1,11244,2,3,TRUE,NULL,TRUE,FALSE,NULL
SPRED1,20249,3,4,TRUE,FALSE,TRUE,TRUE,NULL
SQSTM1,11280,3,3,TRUE,TRUE,TRUE,NULL,NULL
SRGAP1,17382,2,4,TRUE,FALSE,TRUE,FALSE,NULL
STAT1,11362,1,1,TRUE,NULL,NULL,NULL,NULL
STAT3,11364,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
STK11,11389,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
STN1,26200,2,3,TRUE,TRUE,NULL,FALSE,NULL
STX11,11429,2,3,TRUE,TRUE,NULL,FALSE,NULL
STXBP2,11445,2,3,TRUE,TRUE,NULL,FALSE,NULL
SUFU,16466,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
TBXT,11515,3,3,TRUE,TRUE,TRUE,NULL,NULL
TERC,11727,4,4,TRUE,TRUE,TRUE,TRUE,NULL
TERF2IP,19246,2,2,TRUE,NULL,NULL,TRUE,NULL
TERT,11730,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
TINF2,11824,3,3,TRUE,TRUE,NULL,TRUE,NULL
TMEM127,26038,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
TNFRSF11A,11908,1,2,TRUE,FALSE,NULL,NULL,NULL
TNIP1,16903,1,1,TRUE,NULL,NULL,NULL,NULL
TP53,11998,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
TRIM28,16384,2,3,TRUE,TRUE,NULL,FALSE,NULL
TRIM37,7523,3,4,TRUE,TRUE,TRUE,FALSE,NULL
TRIP13,12307,4,4,TRUE,TRUE,TRUE,TRUE,NULL
TSC1,12362,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
TSC2,12363,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
TSR2,25455,2,2,TRUE,TRUE,NULL,NULL,NULL
UBE2T,25009,4,4,TRUE,TRUE,TRUE,TRUE,NULL
UNC13D,23147,3,3,TRUE,TRUE,NULL,TRUE,NULL
VHL,12687,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
WAS,12731,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
WRAP53,25522,4,4,TRUE,TRUE,TRUE,TRUE,NULL
WRN,12791,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
WT1,12796,5,5,TRUE,TRUE,TRUE,TRUE,TRUE
XPA,12814,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
XPC,12816,4,5,TRUE,TRUE,TRUE,TRUE,FALSE
XRCC2,12829,3,3,TRUE,TRUE,NULL,TRUE,NULL
YAP1,16262,1,1,TRUE,NULL,NULL,NULL,NULL
ACTRT1,24027,0,1,NULL,FALSE,NULL,NULL,NULL
ADM,259,0,1,NULL,FALSE,NULL,NULL,NULL
AR,644,2,3,NULL,FALSE,TRUE,NULL,TRUE
ASXL1,18318,3,3,NULL,TRUE,TRUE,NULL,TRUE
ATRIP,33499,0,1,NULL,FALSE,NULL,NULL,NULL
CIB1,16920,1,2,NULL,FALSE,TRUE,NULL,NULL
CTCF,13723,0,2,NULL,FALSE,NULL,NULL,FALSE
DGCR8,2847,0,2,NULL,FALSE,NULL,NULL,FALSE
DIRAS3,687,0,1,NULL,FALSE,NULL,NULL,NULL
DLST,2911,3,3,NULL,TRUE,TRUE,TRUE,NULL
ELAC2,14198,0,1,NULL,FALSE,NULL,NULL,NULL
ELOC,11617,0,1,NULL,FALSE,NULL,NULL,NULL
ELP1,5959,2,3,NULL,TRUE,TRUE,FALSE,NULL
ENG,3349,0,1,NULL,FALSE,NULL,NULL,NULL
EPAS1,3374,2,3,NULL,TRUE,NULL,TRUE,FALSE
ESR1,3467,2,3,NULL,FALSE,TRUE,NULL,TRUE
FBXW7,16712,2,2,NULL,TRUE,NULL,NULL,TRUE
FGF23,3680,0,1,NULL,FALSE,NULL,NULL,NULL
FGFR2,3689,2,3,NULL,FALSE,TRUE,NULL,TRUE
FGFR3,3690,2,3,NULL,FALSE,TRUE,NULL,TRUE
FOXO1,3819,1,3,NULL,FALSE,TRUE,NULL,FALSE
FOXO3,3821,0,2,NULL,FALSE,NULL,NULL,FALSE
GALNT3,4125,0,1,NULL,FALSE,NULL,NULL,NULL
GDNF,4232,0,1,NULL,FALSE,NULL,NULL,NULL
GLA,4296,0,1,NULL,FALSE,NULL,NULL,NULL
GNAS,4392,2,4,NULL,FALSE,TRUE,FALSE,TRUE
GPC4,4452,0,2,NULL,FALSE,NULL,FALSE,NULL
GPR161,23694,2,2,NULL,TRUE,TRUE,NULL,NULL
HABP2,4798,1,3,NULL,FALSE,TRUE,FALSE,NULL
HPLH1,23824,0,1,NULL,FALSE,NULL,NULL,NULL
IGF2,5466,0,1,NULL,FALSE,NULL,NULL,NULL
IRF4,6119,0,2,NULL,FALSE,NULL,NULL,FALSE
KDM3B,1337,1,1,NULL,TRUE,NULL,NULL,NULL
KISS1R,4510,0,1,NULL,FALSE,NULL,NULL,NULL
KLLN,37212,1,2,NULL,FALSE,TRUE,NULL,NULL
KRT17,6427,1,2,NULL,FALSE,TRUE,NULL,NULL
LEF1,6551,0,2,NULL,FALSE,NULL,NULL,FALSE
LEMD3,28887,1,1,NULL,TRUE,NULL,NULL,NULL
MBD4,6919,3,3,NULL,TRUE,TRUE,TRUE,NULL
MC1R,6929,1,2,NULL,FALSE,NULL,TRUE,NULL
MINPP1,7102,1,2,NULL,FALSE,TRUE,NULL,NULL
MSH5,7328,0,1,NULL,FALSE,NULL,NULL,NULL
MSR1,7376,1,2,NULL,FALSE,TRUE,NULL,NULL
NDUFA13,17194,0,1,NULL,FALSE,NULL,NULL,NULL
NFIX,7788,1,2,NULL,FALSE,TRUE,NULL,NULL
NKX2-1,11825,1,4,NULL,FALSE,TRUE,FALSE,FALSE
NOTCH3,7883,2,2,NULL,TRUE,TRUE,NULL,NULL
NTRK1,8031,0,2,NULL,FALSE,NULL,NULL,FALSE
NYNRIN,20165,1,1,NULL,TRUE,NULL,NULL,NULL
PAX3,8617,1,3,NULL,FALSE,TRUE,NULL,FALSE
PAX6,8620,0,1,NULL,FALSE,NULL,NULL,NULL
PAX7,8621,1,3,NULL,FALSE,TRUE,NULL,FALSE
PORCN,17652,1,2,NULL,FALSE,TRUE,NULL,NULL
PPM1D,9277,1,4,NULL,FALSE,TRUE,FALSE,FALSE
PRDM10,13995,0,1,NULL,FALSE,NULL,NULL,NULL
PTCH2,9586,3,3,NULL,TRUE,TRUE,TRUE,NULL
PTCSC1,37127,0,1,NULL,FALSE,NULL,NULL,NULL
PTCSC3,43959,0,1,NULL,FALSE,NULL,NULL,NULL
PTPN12,9645,1,2,NULL,FALSE,TRUE,NULL,NULL
RABL3,18072,2,3,NULL,FALSE,TRUE,TRUE,NULL
RAD21,9811,2,3,NULL,TRUE,TRUE,NULL,FALSE
RAD54L,9826,1,2,NULL,FALSE,TRUE,NULL,NULL
RNASEL,10050,1,2,NULL,FALSE,TRUE,NULL,NULL
RRAS2,17271,1,2,NULL,FALSE,TRUE,NULL,NULL
SAMD9,1348,2,3,NULL,FALSE,TRUE,TRUE,NULL
SASH1,19182,1,2,NULL,FALSE,TRUE,NULL,NULL
